TIPO LOGR,LOGRD,NUMERO,BAIRRO,MUNICIPIO,UF,Latitude,Longitude
AVENIDA,VEREADOR PEDRO LOPES VIEIRA,304,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,VER SALUSTIANO MOURA,414,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,JOEL PASSOS,830,CENTRO,Cedro,CE,-6.60667,-39.06222
AVENIDA,PEDRO LOPES VIEIRA,33,CENTRO,Cedro,CE,-6.60667,-39.06222
SITIO,VALE DO MACHADO,SN,CAIANA,Cedro,CE,-6.60667,-39.06222
RUA,DR FRANCISCO SA,S N,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,CEL LUIZ FELIPE,299,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,RUA ADAUTO CASTELO,161,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,VEREADOR SALUSTIANO MOURA,593,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,CEL JOSE DE ALBUQUERQUE,S N,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,CEL CELSO ARAUJO,118,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,ADAUTO CATELO,396,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,VEREAADOR SALUSTIANO MOURA,402,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,PADRE EMIDIO LEMOS,31,CENTRO,Cedro,CE,-6.60667,-39.06222
AVENIDA,JOSE QUINTINO,SN,PRADO,Cedro,CE,-6.60667,-39.06222
GALERIA,BACANA,30,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,CEL CELSO ARAUJO,223,FATIMA,Cedro,CE,-6.606972,-39.0648454
RUA,ADAUTO CASTELO,393,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,CEL LUIZ FELIPE,150,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,SAO JOSE,906,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,VER. ANTONIO VIANA DE ARAUJO,302,CENTRO,Cedro,CE,-6.60667,-39.06222
SITIO,SERRARIA,S/N,ZONA RURAL,Cedro,CE,-6.60667,-39.06222
RUA,ADAUTO CASTELO,222-A,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,Sao Jose,1673,Pega Avoante,Cedro,CE,-6.60667,-39.06222
RUA,RUA 1 CASA 22,22,CONJUNTO HABITACIONAL,Cedro,CE,-6.60667,-39.06222
RUA,SAO JOSE,800  A,CENTRO,Cedro,CE,-6.60667,-39.06222
AVENIDA,VEREADOR PEDRO LOPES VIEIRA,572,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,ANTONIO VALDER VIANA,191,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,CEL CELSO ALVES DE ARAUJO,124,FATIMA,Cedro,CE,-6.60667,-39.06222
RUA,SENADOR JOAO TOME,363,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,Jose Page,51,Centro,Cedro,CE,-6.60667,-39.06222
RUA,CEL JOSE GABRIEL DINIZ,47,CENTRO,Cedro,CE,-6.60667,-39.06222
AVENIDA,ROSITA AFONSO,35,JARDIM AFONSO CELSO,Cedro,CE,-6.595184,-39.0672313
GALERIA,LORIVAL CORREIA,42,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,TABELIAO RAIMUNDO DOS SANTOS,115,FATIMA,Cedro,CE,-6.6048459,-39.0642367
